标题：盘点Big Bang里面那些无节操的台词吧〜 	 链接：http://tieba.baidu.com/p/2490280591 	 发帖人：薄荷warrior___ 	 最后回复时间：2-23 	 回复数量：2977 
标题：【求成精】在Google地图上寻找“大爆炸”总部 	 链接：http://tieba.baidu.com/p/4430309941 	 发帖人：嘿_屁仔PuChi 	 最后回复时间：2-23 	 回复数量：137 
标题：你觉得大爆炸最帅的是谁❤️ 	 链接：http://tieba.baidu.com/p/5551036121 	 发帖人：我的小美... 	 最后回复时间：2-22 	 回复数量：6 
标题：求问，penny把Leonard当马骑是哪一集？ 	 链接：http://tieba.baidu.com/p/5235224902 	 发帖人：空接转体... 	 最后回复时间：2-22 	 回复数量：1 
标题：Sim4 自制生活大爆炸场景 	 链接：http://tieba.baidu.com/p/5168004213 	 发帖人：Mira_xxx 	 最后回复时间：2-22 	 回复数量：152 
标题：想做一套TBBT的表情 	 链接：http://tieba.baidu.com/p/5343151318 	 发帖人：红眼章鱼 	 最后回复时间：2-22 	 回复数量：43 
标题：谢耳朵都有独立的剧目了，不可思议 	 链接：http://tieba.baidu.com/p/5532142182 	 发帖人：小魏闯江湖 	 最后回复时间：2-22 	 回复数量：5 
标题：生活大爆炸第六季第二集电影院里很轻快的背景音乐 	 链接：http://tieba.baidu.com/p/5560521682 	 发帖人：高三段长... 	 最后回复时间：2-22 	 回复数量：0 
标题：谢耳朵也能有对象 	 链接：http://tieba.baidu.com/p/5560425122 	 发帖人：victor1988605 	 最后回复时间：2-22 	 回复数量：6 
标题：莫非只有我一个人觉得十一季没有以前好看了吗 	 链接：http://tieba.baidu.com/p/5367356100 	 发帖人：宇宙无敌... 	 最后回复时间：2-22 	 回复数量：14 
标题：生活大爆炸第一季17集Shel 	 链接：http://tieba.baidu.com/p/5161018092 	 发帖人：久稚 	 最后回复时间：2-22 	 回复数量：16 
